term,year,submitted_at,started_at,attended,heard_web,heard_social,heard_email,heard_element,heard_peers,heard_other,reason_knew_choice,reason_web_enough,reason_schedule_conflict,reason_course_load,reason_no_notice,reason_other,had_prior_decision,changed_decision,decision_reason,useful_cc_qa,useful_cc_fusion,useful_is_inside,useful_is_google,useful_iti_expectation,useful_iti_security,useful_iti_lora,useful_iti_jobs,useful_admin_talk,liked_most,liked_least_improve,activities_helped,response_id,last_page,language,seed,last_action_at,heard_teachers,no_attendance_reason,decision_semester,activities_influenced,factor_professors,factor_courses,factor_ecci_events,factor_advanced_students,factor_study_plan,factor_salary,factor_job_market,factor_other,impact_is_activity,impact_iti_activity,impact_cc_activity,useful_intro_talk,useful_is_activity,useful_iti_activity,useful_cc_activity,low_usefulness_comment,chosen_emphasis,difficulty_cycle_1,difficulty_cycle_2,difficulty_cycle_3,difficulty_cycle_4,axis1_programming,axis2_programming,axis1_discrete_structures,axis2_discrete_structures,axis1_architecture,axis2_architecture,axis1_assembly,axis2_assembly,axis1_algorithms,axis2_algorithms,axis1_parallel_programming,axis2_parallel_programming,axis1_math_for_computing,axis2_math_for_computing,axis1_linear_algebra,axis2_linear_algebra,axis1_calculus,axis2_calculus,axis1_probability_stats,axis2_probability_stats,skill_teamwork,skill_ethics,skill_communication,skill_perseverance,skill_discipline,skill_collaboration,skill_responsibility,study_plan_comment,time_total,time_general_group,time_i01,time_i02,time_pc01,time_i03,time_na01,time_i04,time_s05,time_i06,time_s07,time_s08,time_s09,time_i10,time_feedback_group,time_r01,time_r02,time_r03,time_r04,useful_student_roundtable,useful_graduate_roundtable,useful_admin_myths_talk,useful_roundtable,c_324,c_2023_02_02_14_15_40,c_2,es,c_1066920111,c_2023_02_02_13_56_51,c_2023_02_02_14_15_40_2,si,no,si_2,no_2,no_3,si_3,col,si_4,col_2,i_semestre_del_1er_ano,parcialmente,no_4,si_5,no_5,no_6,si_6,si_7,si_8,col_3,col_4,col_5,col_6,c_5_muy_util,c_5_muy_util_2,c_5_muy_util_3,col_7,is_ingenieria_de_software,c_2_2,c_2_3,c_3,c_4,c_2_4,c_3_2,c_4_2,c_4_3,c_2_5,c_3_3,c_2_6,c_3_4,c_4_4,muy_alto_5,c_2_7,c_2_8,c_3_5,c_3_6,c_3_7,c_2_9,c_3_8,c_3_9,c_3_10,c_3_11,c_4_5,c_4_6,c_4_7,c_4_8,c_2_10,c_4_9,c_3_12,col_8,c_1128_41,c_82_17,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,c_1046_24
I Ciclo,2021,2021-05-19 05:16:36,2021-05-19 05:10:12,Sí,No,No,Sí,Sí,Sí,,N/A,N/A,N/A,N/A,N/A,,"Tenía una preferencia, pero aún no estaba 100% decidido(a)",Sí,Cambié porque CC sentí que se enfocaron mucho en lo de machine learning e IA y esos temas no me llaman mucho la atención.,3,3,5,3,4,3,3,3,5,"Lo que más me gustó fue que, como era un conversatorio, se podían hacer las preguntas que a uno le surgían al momento.",No hubo nada que consideraría malo de las presentaciones,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-19 19:53:12,2021-05-19 19:45:28,Sí,Sí,No,Sí,No,No,,N/A,N/A,N/A,N/A,N/A,,Sí,No,Comparé los planes de cada enfasis,1,1,4,3,3,2,2,3,5,"Ver las experiencias de los estudiantes, además de las charlas de los profesionales que trabajan en esa aréa",,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-19 15:47:06,2021-05-19 15:36:18,Sí,No,No,No,No,Sí,Los profes de estadistica,N/A,N/A,N/A,N/A,N/A,,"Tenía una preferencia, pero aún no estaba 100% decidido(a)",No,Ya lo tenia pensado desde que entré a la carrera,5,,,,5,,,,,La parte en la que demás estudiantes contaban sus experiencias,"Algunas eran dadas por empresas y eso está bien, solo que a veces se sentía más como feria de empleo",Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-23 04:28:32,2021-05-23 04:10:35,Sí,No,No,No,Sí,Sí,Grupo de whatsapp del curso,N/A,N/A,N/A,N/A,N/A,,No,N/A,Creo que los cursos que tiene el énfasis son lo más similar a lo que me quiero dedicar en el futuro,4,3,5,5,,,,,,La información ofrecida en el mundo laboral y experiencia de los estudiantes que ya están en el curso.,Algunas de las charlas ofrecidas por los profesionales se enfocaban muy técnicamente en lo que hacían,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-16 17:34:25,2021-05-16 17:17:39,Sí,No,No,Sí,No,No,,N/A,N/A,N/A,N/A,N/A,,No,N/A,"De mi segunda opción (CC) solo me interesaba un curso, Machine learning por lo que me parece una desición más acertada llevar IS y después buscar por mi parte formación en ML",5,5,5,5,5,5,5,3,5,Cuando se hablaba de un proyecto en proceso y se mencionaba que rol tendría cada Énfasis en ese proyecto,"Que todos los énfasis tengan su respectivo canal de yt con una lista de reproducción, no solo el de cc",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-15 01:04:16,2021-05-15 00:56:56,Sí,No,Sí,Sí,No,Sí,Grupo de Element,N/A,N/A,N/A,N/A,N/A,,"Tenía una preferencia, pero aún no estaba 100% decidido(a)",No,Por medio de las charlas y experiencias laborales de conocidos.,3,,4,5,4,5,4,4,5,Las experiencias personales y las presentaciones donde se explicaron los cursos.,"Nada, todo me pario muy bien hecho.",Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-18 15:58:18,2021-05-18 15:51:50,Sí,No,No,Sí,No,No,,N/A,N/A,N/A,N/A,N/A,,"Tenía una preferencia, pero aún no estaba 100% decidido(a)",No,"Por las habilidades que se desarrollan en ese ámbito además de las ramas que contiene, son las que están más afín de mis necesidades que como profesional quiero solucionar",5,5,5,5,5,5,5,5,5,Que me expandieron el panorama de cada uno de los énfasis para poder ejercer una elección informada,"La verdad no tuve disgustos, quizá las horas me chocaban con algunos cursos, pero me imagino que se establecen buscando la comodidad de la mayoría",Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-23 03:34:50,2021-05-23 03:25:04,Sí,No,No,Sí,Sí,Sí,Profesores,N/A,N/A,N/A,N/A,N/A,,"Tenía una preferencia, pero aún no estaba 100% decidido(a)",No,He escuchado que tiene buenas salidas laborales Ademas que personalmente el reto del desarrollo de software me entretiene,3,,,5,,,,,5,"La actividad  ""Cómo hacer una carrera en la Industria, Dr. Carlos Castro""","Siento que hay temas que no se cubrieron,  siempre se tratan temas como que tecnologias se usan, cuanto dinero se gana y temas tecnicos pero no se abordan temas de habilidades blandas es decir como un manejo del estres, como tener un buen dialogo con colegas y demás temas que seria interesante escucharlos de un profesional en el area.",Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-19 22:54:24,2021-05-19 22:48:20,Sí,Sí,No,Sí,No,No,,N/A,N/A,N/A,N/A,N/A,,"Tenía una preferencia, pero aún no estaba 100% decidido(a)",No,,,,5,5,5,5,,5,5,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-18 05:54:55,2021-05-18 05:41:03,Sí,Sí,Sí,Sí,No,No,,N/A,N/A,N/A,N/A,N/A,,Sí,No,,4,3,4,5,2,3,,,5,Conocer los testimonios de graduados de la escuela.,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
